,Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Price,Year,Types,City,Discount
1050,2019 Toyota Glanza V MT PETROL,Manual,8360,Petrol,1st Owner,UP-32-x-xxxx,14164,724499,2019,Toyota,Lucknow,724499
1051,2019 Mahindra XUV 3OO W8 (O) Dual tone Diesel,MANUAL,30833,Diesel,1st Owner,WB-26,17205,916199,2019,Mahindra,Kolkata,916199
1052,2021 Maruti New  Wagon-R LXI CNG 1.0 L,MANUAL,36168,Petrol + CNG,1st Owner,MH-12,13435,687199,2021,Maruti,Pune,687199
1053,2020 Tata TIGOR 1.2 XZA+ RTN,AUTOMATIC,7274,Petrol,1st Owner,UP-32-x-xxxx,14274,785099,2020,Tata,Lucknow,730099
1054,2019 Mahindra MARAZZO M8 7 STR,MANUAL,17056,Diesel,1st Owner,KA-05-x-xxxx,23664,1294099,2019,Mahindra,Bangalore,1260149
1055,2019 Honda Jazz 1.2 VX AT,AUTOMATIC,45395,Petrol,1st Owner,TS-09-x-xxxx,15552,795499,2019,Honda,Hyderabad,795499
1056,2019 MG HECTOR SHARP HYBIRD PETROL MT,MANUAL,11801,Petrol,1st Owner,RJ-45,27494,1532399,2019,MG,Jaipur,1464099
1057,2019 Renault TRIBER 1.0 RXL PETROL,MANUAL,3430,Petrol,1st Owner,WB-10,11763,601699,2019,Renault,Kolkata,601699
1058,2014 Honda Amaze 1.2 SMT I VTEC,MANUAL,66498,Petrol,1st Owner,MH-12,8866,453499,2014,Honda,Pune,453499
1059,2022 Toyota URBAN CRUISER Premium AT,Manual,1069,Petrol,1st Owner,KL-07,23913,1315199,2022,Toyota,Kochi,1273399
1060,2019 Tata Tiago XZ+ 1.2 Revotron,MANUAL,49816,Petrol,1st Owner,KL-39,9902,506499,2019,Tata,Kochi,506499
1061,2020 Tata ALTROZ XZ 1.2,MANUAL,20718,Petrol,2nd Owner,HR-06,14868,806699,2020,Tata,New Delhi,760499
1062,2019 Maruti Swift VXI,MANUAL,16515,Petrol,2nd Owner,MH-05,11900,643999,2019,Maruti,Mumbai,608699
1063,2015 Ford Ecosport 1.5 TREND TDCI,MANUAL,60128,Diesel,2nd Owner,TN-18-x-xxxx,10792,551999,2015,Ford,Chennai,551999
1064,2021 Tata Harrier XZA + DUAL TONE,AUTOMATIC,11378,Diesel,1st Owner,MH-14,43868,2396699,2021,Tata,Pune,2335999
1065,2016 Toyota Fortuner 3.0 MT 4X2,MANUAL,87357,Diesel,1st Owner,KA-01-x-xxxx,39126,2168399,2016,Toyota,Bangalore,2083499
1066,2012 Maruti Alto LXI CNG,MANUAL,84998,Petrol + CNG,2nd Owner,AP-23-x-xxxx,4190,214299,2012,Maruti,Hyderabad,214299
1067,2019 Ford FREESTYLE TITANIUM 1.5 TDCI,MANUAL,74952,Diesel,2nd Owner,AP-39-x-xxxx,9726,497499,2019,Ford,Hyderabad,497499
1068,2019 Maruti Eeco 5 STR WITH AC PLUSHTR,MANUAL,39713,Petrol,1st Owner,KL-10,7736,442599,2019,Maruti,Kochi,395699
1069,2020 Maruti Vitara Brezza VXI,MANUAL,40741,Petrol,1st Owner,GJ-18,16450,880999,2020,Maruti,Ahmedabad,875999
1070,2018 Ford FREESTYLE TITANIUM Plus 1.5 TDCI MT,MANUAL,37060,Diesel,2nd Owner,TN-85-x-xxxx,12946,662199,2018,Ford,Chennai,662199
1071,2010 Maruti Zen Estilo LXI,MANUAL,46059,Petrol,1st Owner,DL-3C,3320,174799,2010,Maruti,New Delhi,169799
1072,2017 Renault Kwid RXT 1.0 EASY-R AT OPTION,AUTOMATIC,46654,Petrol,1st Owner,TS-07-x-xxxx,7572,387299,2017,Renault,Hyderabad,387299
1073,2020 Maruti Dzire ZXI Plus,MANUAL,25037,Petrol,1st Owner,TN-79-x-xxxx,15639,858599,2020,Maruti,Chennai,832799
1074,2017 Toyota Innova Crysta 2.8 ZX AT 7 STR,AUTOMATIC,85083,Diesel,1st Owner,HR-51,32409,1816999,2017,Toyota,New Delhi,1725799
1075,2021 Hyundai NEW SANTRO SPORTZ 1.1,MANUAL,8413,Petrol,1st Owner,GJ-06,10766,555699,2021,Hyundai,Ahmedabad,550699
1076,2021 Toyota Glanza G MT PETROL,MANUAL,6138,Petrol,1st Owner,MH-02,15354,817599,2021,Toyota,Mumbai,817599
1077,2018 Renault Kwid 1.0 RXT,MANUAL,62786,Petrol,2nd Owner,UP-32-x-xxxx,6264,325499,2018,Renault,Lucknow,320399
1078,2011 Mercedes Benz C Class 	250 CDI ELEGANCE AT,AUTOMATIC,44511,Diesel,2nd Owner,MH-02,14872,845699,2011,Mercedes,Pune,760699
1079,2016 Honda City V MT PETROL,MANUAL,31300,Petrol,2nd Owner,MH-12,13519,743599,2016,Honda,Pune,691499
